particle,min_max_size,dispersal_unit,class,polarity,P/E,2D_shape,3D_shape,aperture_prefix,aperture_type,aperture_features,ornamentation,other,taxonomy
aesculus parviflora,"16,20",monad,colporate,isopolar,prolate,circular,-,['tri'],colporus,aperture membrane ornamented, striate,"-,viscin threads","['Angiospermae', 'Sapindales', 'Sapindaceae', '']"
agapanthus praecox,,,,,,,,,,,,,
agapanthus praecox3,,,,,,,,,,,,,
agave tequilana,,,,,,,,,,,,,
agave tequilana5,,,,,,,,,,,,,
agrimonia eupatoria,"31,40",monad,colporate,isopolar,prolate,circular,-,['tri'],colporus,-,"rugulate,  striatestriate","-,viscin threads","['Angiospermae', 'Rosales', 'Rosaceae', '']"
albuca canadiensis,,,,,,,,,,,,,
albuca canadiensis8,,,,,,,,,,,,,
alcea rosea,"101,101",monad,porate,isopolar,-,circular,spheroidal,"['panto', 'panto']",porus,pantoaperturate,echinate,"-,viscin threads","['Angiospermae', 'Malvales', 'Malvaceae', '']"
alliana petiolata,"21,25",monad,colpate,isopolar,prolate,circular,-,['tri'],colpus,aperture membrane ornamented,reticulatereticulate,"-,viscin threads","['Angiospermae', 'Brassicales', 'Brassicaceae', '']"
allium ampetoprasum,"26,50",monad,sulcate,heteropolar,oblate,elliptic,-,[],sulcus,-,microreticulate,"ubisch bodies,viscin threads","['Angiospermae', 'Asparagales', 'Amaryllidaceae', '']"
allium ampetoprasum12,"26,50",monad,sulcate,heteropolar,oblate,elliptic,-,[],sulcus,-,microreticulate,"ubisch bodies,viscin threads","['Angiospermae', 'Asparagales', 'Amaryllidaceae', '']"
allium cepa,"16,30",monad,sulcate,heteropolar,oblate,elliptic,-,[],sulcus,-,"psilatestriate, rugulate, perforate","-,viscin threads","['Angiospermae', 'Asparagales', 'Amaryllidaceae', '']"
allium cepa14,"16,30",monad,sulcate,heteropolar,oblate,elliptic,-,[],sulcus,-,"psilatestriate, rugulate, perforate","-,viscin threads","['Angiospermae', 'Asparagales', 'Amaryllidaceae', '']"
allium karataviense,,,,,,,,,,,,,
allium paradoxum,"26,50",monad,-,heteropolar,oblate,elliptic,-,[],sulcus,-,"rugulate, perforate","-,viscin threads","['Angiospermae', 'Asparagales', 'Amaryllidaceae', '']"
allium roseum,"26,50",monad,sulcate,heteropolar,oblate,elliptic,-,[],sulcus,-,"scabrate,  verrucate,  gemmaterugulate, striate, perforate","ubisch bodies,viscin threads","['Angiospermae', 'Asparagales', 'Amaryllidaceae', '']"
alloplectus mummularia,,,,,,,,,,,,,
alnus glutinosa,"21,25",monad,porate,isopolar,oblate,polygonal,-,"['penta', 'stephano']",porus,stephanoaperturate,"psilatemicrorugulate, microechinate","ubisch bodies,viscin threads","['Angiospermae', 'Fagales', 'Betulaceae', '']"
alnus viridis,"10,25",monad,porate,isopolar,-,circular,spheroidal,"['penta', 'stephano']",porus,stephanoaperturate,"microrugulate, microechinate","ubisch bodies,viscin threads","['Angiospermae', 'Fagales', 'Betulaceae', '']"
aloe bellatula,,,,,,,,,,,,,
aloe bellatula22,,,,,,,,,,,,,
alyogyne huegelii,,,,,,,,,,,,,
alyogyne huegelii24,,,,,,,,,,,,,
alyssum saxatile,"16,20",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,-,reticulate,"-,viscin threads","['Angiospermae', 'Brassicales', 'Brassicaceae', '']"
amaryllis belladonna,,,,,,,,,,,,,
amaryllis belladonna27,,,,,,,,,,,,,
amelanchier lamarckii,,,,,,,,,,,,,
amelanchier lamarckii29,,,,,,,,,,,,,
amorpha friticosa,"16,25",monad,colporate,isopolar,oblate,triangular,-,['tri'],colporus,"aperture membrane ornamented, margo",reticulatemicroreticulate,"-,viscin threads","['Angiospermae', 'Fabales', 'Fabaceae', '']"
anagallis arvensis,"21,25",monad,colporate,isopolar,-,circular,spheroidal,['tri'],colporus,-,reticulatemicroreticulate,"ubisch bodies,viscin threads","['Angiospermae', 'Ericales', 'Primulaceae', '']"
anemone coronaria,,,,,,,,,,,,,
anemone coronaria33,,,,,,,,,,,,,
anemone hupehensis,,,,,,,,,,,,,
anemone hupehensis35,,,,,,,,,,,,,
anemone nemorosa,"21,30",monad,colpate,isopolar,isodiametric,circular,spheroidal,['tri'],colpus,aperture membrane ornamented,"scabrate,  verrucate,  gemmatemicroechinate, perforate","ubisch bodies,viscin threads","['Angiospermae', 'Ranunculales', 'Ranunculaceae', '']"
anemopaegma chamberleyii,,,,,,,,,,,,,
anemopaegma chamberleyii38,,,,,,,,,,,,,
anigozanthos rufus,"41,100",monad,porate,-,oblate,elliptic,-,['di'],porus,-,"scabrate,  verrucate,  gemmateverrucate, fossulate, rugulate","-,viscin threads","['Angiospermae', 'Commelinales', 'Haemodoraceae', '']"
anigozanthos rufus40,"41,100",monad,porate,-,oblate,elliptic,-,['di'],porus,-,"scabrate,  verrucate,  gemmateverrucate, fossulate, rugulate","-,viscin threads","['Angiospermae', 'Commelinales', 'Haemodoraceae', '']"
anthericum liliago,"51,100",monad,sulcate,heteropolar,oblate,elliptic,-,[],sulcus,-,"reticulate, heterobrochatereticulate, heterobrochate, granulate","ubisch bodies,viscin threads","['Angiospermae', 'Asparagales', 'Amaryllidaceae', '']"
anthriscus sylvestris,"11,30",monad,colporate,isopolar,prolate,circular,-,['tri'],colporus,-,"scabrate,  verrucate,  gemmate","-,viscin threads","['Angiospermae', 'Apiales', 'Apiaceae', '']"
anthriscus sylvestris43,"11,30",monad,colporate,isopolar,prolate,circular,-,['tri'],colporus,-,"scabrate,  verrucate,  gemmate","-,viscin threads","['Angiospermae', 'Apiales', 'Apiaceae', '']"
aquilegia fragrans,,,,,,,,,,,,,
aquilegia vulgaris,"16,25",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,aperture membrane ornamented,"scabrate,  verrucate,  gemmatemicroechinate, perforate","ubisch bodies,viscin threads","['Angiospermae', 'Ranunculales', 'Ranunculaceae', '']"
arabis caucasica,"26,50",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,-,reticulate,"-,viscin threads","['Angiospermae', 'Brassicales', 'Brassicaceae', '']"
arabis caucasica47,"26,50",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,-,reticulate,"-,viscin threads","['Angiospermae', 'Brassicales', 'Brassicaceae', '']"
araucaria heterophylla,,,,,,,,,,,,,
araucaria heterophylla49,,,,,,,,,,,,,
arctotis fastuosa,,,,,,,,,,,,,
ardisia solanacea,,,,,,,,,,,,,
ardisia solanacea52,,,,,,,,,,,,,
areca rheophytica,,,,,,,,,,,,,
areca rheophytica54,,,,,,,,,,,,,
aristotelia chilensis,"10,25",monad,colporate,isopolar,-,circular,spheroidal,['tri'],colporus,-,microreticulate,"ubisch bodies,viscin threads","['Angiospermae', 'Oxalidales', 'Elaeocarpaceae', '']"
armeria maritima,"51,100",monad,colpate,isopolar,oblate,circular,-,['tri'],colpus,-,"reticulum cristatum, microechinate","-,viscin threads","['Angiospermae', 'Caryophyllales', 'Plumbaginaceae', '']"
armoracia rusticana,"16,25",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,-,reticulate,"-,viscin threads","['Angiospermae', 'Brassicales', 'Brassicaceae', '']"
armoracia rusticana58,"16,25",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,-,reticulate,"-,viscin threads","['Angiospermae', 'Brassicales', 'Brassicaceae', '']"
aruncus dioicus,"11,20",monad,colporate,isopolar,-,triangular,spheroidal,['tri'],colporus,aperture membrane ornamented,"rugulate,  striatestriate, perforate","-,viscin threads","['Angiospermae', 'Rosales', 'Rosaceae', '']"
asperula sintensis,,,,,,,,,,,,,
aster tongolensis,,,,,,,,,,,,,
astrantia major,"21,50",monad,colporate,isopolar,prolate,circular,-,['tri'],colporus,-,"scabrate,  verrucate,  gemmaterugulate, perforate","ubisch bodies,viscin threads","['Angiospermae', 'Apiales', 'Apiaceae', '']"
astrantia major63,"21,50",monad,colporate,isopolar,prolate,circular,-,['tri'],colporus,-,"scabrate,  verrucate,  gemmaterugulate, perforate","ubisch bodies,viscin threads","['Angiospermae', 'Apiales', 'Apiaceae', '']"
astrophytum capricorne,,,,,,,,,,,,,
astrophytum coahuilensis,,,,,,,,,,,,,
astrophytum myriostigma,,,,,,,,,,,,,
astrophytum myriostigma67,,,,,,,,,,,,,
astrophytum ornatum,,,,,,,,,,,,,
astrophytum ornatum69,,,,,,,,,,,,,
atropha belladonna,"31,50",monad,colporate,isopolar,oblate,circular,-,['tri'],colporus,-,striate,"-,viscin threads","['Angiospermae', 'Solanales', 'Solanaceae', '']"
aubretia cultorum,,,,,,,,,,,,,
aubretia cultorum72,,,,,,,,,,,,,
aubretia deltoides,,,,,,,,,,,,,
averrhoe carambola,"11,20",monad,colpate,isopolar,oblate,circular,-,['tri'],colpus,-,reticulatemicroreticulate,"ubisch bodies,viscin threads","['Angiospermae', 'Oxalidales', 'Oxalidaceae', '']"
averrhoe carambola75,"11,20",monad,colpate,isopolar,oblate,circular,-,['tri'],colpus,-,reticulatemicroreticulate,"ubisch bodies,viscin threads","['Angiospermae', 'Oxalidales', 'Oxalidaceae', '']"
aylostera albiflora,,,,,,,,,,,,,
begonia convolvolacea,"10,25",monad,colporate,isopolar,prolate,circular,-,['tri'],colporus,aperture membrane ornamented,"striate, perforate","ubisch bodies,viscin threads","['Angiospermae', 'Cucurbitales', 'Begoniaceae', '']"
bellevalia romana,"51,100",monad,sulcate,heteropolar,oblate,elliptic,-,[],sulcus,-,"reticulate, microreticulate, heterobrochate","ubisch bodies,viscin threads","['Angiospermae', 'Asparagales', 'Asparagaceae', '']"
bellevalia romana79,"51,100",monad,sulcate,heteropolar,oblate,elliptic,-,[],sulcus,-,"reticulate, microreticulate, heterobrochate","ubisch bodies,viscin threads","['Angiospermae', 'Asparagales', 'Asparagaceae', '']"
bellis perennis,"16,20",monad,colporate,isopolar,-,circular,spheroidal,['tri'],colporus,-,"echinateechinate, perforate","-,viscin threads","['Angiospermae', 'Asterales', 'Asteraceae', '']"
bellis perennis81,"16,20",monad,colporate,isopolar,-,circular,spheroidal,['tri'],colporus,-,"echinateechinate, perforate","-,viscin threads","['Angiospermae', 'Asterales', 'Asteraceae', '']"
bergenia bressingham,,,,,,,,,,,,,
bergenia emiensis,,,,,,,,,,,,,
bergenia purpurascens,,,,,,,,,,,,,
beschorneria yuccoides,,,,,,,,,,,,,
beschorneria yuccoides86,,,,,,,,,,,,,
betula albo-sinensis,,,,,,,,,,,,,
betula medwediewii,,,,,,,,,,,,,
betula pendula,"16,25",monad,porate,isopolar,-,circular,spheroidal,['tri'],porus,"annulus, operculum, oncus","psilaterugulate, microechinate","ubisch bodies,viscin threads","['Angiospermae', 'Fagales', 'Betulaceae', '']"
betula schonidtii,,,,,,,,,,,,,
betula utilis,,,,,,,,,,,,,
betula utilis92,,,,,,,,,,,,,
billbergia distachia,,,,,,,,,,,,,
bomaria edulis,,,,,,,,,,,,,
bomaria edulis95,,,,,,,,,,,,,
bongardia chrysogonum,,,,,,,,,,,,,
borago officinalis,"31,40",monad,colporate,isopolar,-,circular,spheroidal,"['panto', 'stephano']",colporus,"brevicolporus, stephanoaperturate","scabrate,  verrucate,  gemmatemicrogemmate, perforate","-,viscin threads","['Angiospermae', 'unplaced', 'Boraginaceae', '']"
borago officinalis98,"31,40",monad,colporate,isopolar,-,circular,spheroidal,"['panto', 'stephano']",colporus,"brevicolporus, stephanoaperturate","scabrate,  verrucate,  gemmatemicrogemmate, perforate","-,viscin threads","['Angiospermae', 'unplaced', 'Boraginaceae', '']"
bouganvillia glabra,,,,,,,,,,,,,
boweia volubilis,,,,,,,,,,,,,
boweia volubilis101,,,,,,,,,,,,,
brassica oleracea,"21,30",monad,colpate,isopolar,prolate,circular,-,['tri'],colpus,-,reticulate,"-,viscin threads","['Angiospermae', 'Brassicales', 'Brassicaceae', '']"
brassica rapa,,,,,,,,,,,,,
briza minima,,,,,,,,,,,,,
broussonetia kazinoki,,,,,,,,,,,,,
broussonetia kazinoki106,,,,,,,,,,,,,
brunfelsia americana,,,,,,,,,,,,,
bulbine frutescens,,,,,,,,,,,,,
bulbine frutescens109,,,,,,,,,,,,,
burchellia bubalina,,,,,,,,,,,,,
burchellia bubalina111,,,,,,,,,,,,,
calandula officinalis,"31,35",monad,colporate,isopolar,-,circular,spheroidal,['tri'],colporus,-,"echinateechinate, perforate","-,viscin threads","['Angiospermae', 'Asterales', 'Asteraceae', '']"
calliandria haematocephala,,,,,,,,,,,,,
callistema citrinus,"11,20",monad,colporate,isopolar,oblate,triangular,-,['tri'],colporus,-,psilate,"-,viscin threads","['Angiospermae', 'Myrtales', 'Myrtaceae', '']"
callistema citrinus115,"11,20",monad,colporate,isopolar,oblate,triangular,-,['tri'],colporus,-,psilate,"-,viscin threads","['Angiospermae', 'Myrtales', 'Myrtaceae', '']"
calluna vulgaris,"26,35",tetrad,tetrad,heteropolar,-,circular,spheroidal,['tri'],colporus,-,"scabrate,  verrucate,  gemmateverrucate, gemmate","ubisch bodies,viscin threads","['Angiospermae', 'Ericales', 'Ericaceae', '']"
calluna vulgaris117,"26,35",tetrad,tetrad,heteropolar,-,circular,spheroidal,['tri'],colporus,-,"scabrate,  verrucate,  gemmateverrucate, gemmate","ubisch bodies,viscin threads","['Angiospermae', 'Ericales', 'Ericaceae', '']"
calochortus superbus,,,,,,,,,,,,,
calothalmus quadrifidus,,,,,,,,,,,,,
camassia cusickii,,,,,,,,,,,,,
camassia cusickii121,,,,,,,,,,,,,
camassia leichtlinii,"51,100",monad,sulcate,heteropolar,oblate,elliptic,-,[],sulcus,aperture membrane ornamented,"reticulate, heterobrochate, perforate","ubisch bodies,viscin threads","['Angiospermae', 'Asparagales', 'Asparagaceae', '']"
camassia leichtlinii123,"51,100",monad,sulcate,heteropolar,oblate,elliptic,-,[],sulcus,aperture membrane ornamented,"reticulate, heterobrochate, perforate","ubisch bodies,viscin threads","['Angiospermae', 'Asparagales', 'Asparagaceae', '']"
camellia japonica,"36,50",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,operculum,"granulate, scabrate, reticulatemicroreticulate","-,viscin threads","['Angiospermae', 'Ericales', 'Theaceae', '']"
camellia japonica125,"36,50",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,operculum,"granulate, scabrate, reticulatemicroreticulate","-,viscin threads","['Angiospermae', 'Ericales', 'Theaceae', '']"
camellia sinensis,"36,50",monad,colporate,isopolar,oblate,triangular,-,['tri'],colporus,operculum,"scabrate,  verrucate,  gemmateverrucate, perforate","-,viscin threads","['Angiospermae', 'Ericales', 'Theaceae', '']"
campanula persicifolia,"31,35",monad,porate,isopolar,-,circular,spheroidal,['tri'],porus,-,"echinateechinate, striatomicroreticulate","ubisch bodies,viscin threads","['Angiospermae', 'Asterales', 'Campanulaceae', '']"
campanula persicifolia128,"31,35",monad,porate,isopolar,-,circular,spheroidal,['tri'],porus,-,"echinateechinate, striatomicroreticulate","ubisch bodies,viscin threads","['Angiospermae', 'Asterales', 'Campanulaceae', '']"
campanula punctata,,,,,,,,,,,,,
campsis radicans,"21,30",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,aperture membrane psilate,reticulatereticulate,"-,viscin threads","['Angiospermae', 'Lamiales', 'Bignoniaceae', '']"
cannabis sativa,"21,30",monad,porate,isopolar,isodiametric,circular,spheroidal,['tri'],porus,annulus,psilategranulate,"ubisch bodies,viscin threads","['Angiospermae', 'Rosales', 'Cannabaceae', '']"
cannabis sativa132,"21,30",monad,porate,isopolar,isodiametric,circular,spheroidal,['tri'],porus,annulus,psilategranulate,"ubisch bodies,viscin threads","['Angiospermae', 'Rosales', 'Cannabaceae', '']"
capsella bursa-pastoris,"16,25",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,-,reticulatereticulate,"-,viscin threads","['Angiospermae', 'Brassicales', 'Brassicaceae', '']"
capsicum annuum,"21,35",monad,colporate,isopolar,isodiametric,circular,spheroidal,['tri'],colporus,-,"scabrate,  verrucate,  gemmatemicroechinate, perforate","ubisch bodies,viscin threads","['Angiospermae', 'Solanales', 'Solanaceae', '']"
capsicum annuum135,"21,35",monad,colporate,isopolar,isodiametric,circular,spheroidal,['tri'],colporus,-,"scabrate,  verrucate,  gemmatemicroechinate, perforate","ubisch bodies,viscin threads","['Angiospermae', 'Solanales', 'Solanaceae', '']"
capsicum annuum136,"21,35",monad,colporate,isopolar,isodiametric,circular,spheroidal,['tri'],colporus,-,"scabrate,  verrucate,  gemmatemicroechinate, perforate","ubisch bodies,viscin threads","['Angiospermae', 'Solanales', 'Solanaceae', '']"
cardamine pratense,"31,40",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,-,reticulatereticulate,"-,viscin threads","['Angiospermae', 'Brassicales', 'Brassicaceae', '']"
carica papaya,,,,,,,,,,,,,
carmichaelia silvatica,,,,,,,,,,,,,
carpinus betulus,"9,35",monad,porate,isopolar,-,circular,spheroidal,['tetra'],porus,"operculum, oncus","psilaterugulate, microechinate","ubisch bodies,viscin threads","['Angiospermae', 'Fagales', 'Betulaceae', '']"
castanea sativa,"11,15",monad,colporate,isopolar,prolate,circular,-,['tri'],colporus,-,"psilaterugulate, perforate","ubisch bodies,viscin threads","['Angiospermae', 'Fagales', 'Fagaceae', '']"
catalpa bignonoides,"41,50",tetrad,tetrad,heteropolar,-,no suitable term,no suitable term,['in'],no aperture,-,"reticulateclypeate, reticulate","-,viscin threads","['Angiospermae', 'Lamiales', 'Bignoniaceae', '']"
catalpa bignonoides143,"41,50",tetrad,tetrad,heteropolar,-,no suitable term,no suitable term,['in'],no aperture,-,"reticulateclypeate, reticulate","-,viscin threads","['Angiospermae', 'Lamiales', 'Bignoniaceae', '']"
ceanothus impressus,"16,25",monad,colporate,isopolar,oblate,triangular,-,['tri'],colporus,-,psilate,"-,viscin threads","['Angiospermae', 'Rosales', 'Rhamnaceae', '']"
cedrus atlantica,"51,100",monad,saccate,heteropolar,oblate,elliptic,-,[],leptoma,-,"verrucate, microverrucate, fossulate, perforate","-,viscin threads","['Gymnospermae', 'Pinales', 'Pinaceae', '']"
cedrus atlantica146,"51,100",monad,saccate,heteropolar,oblate,elliptic,-,[],leptoma,-,"verrucate, microverrucate, fossulate, perforate","-,viscin threads","['Gymnospermae', 'Pinales', 'Pinaceae', '']"
centaurea arbutifolia,,,,,,,,,,,,,
centaurea cyanus,"26,50",monad,colporate,isopolar,prolate,triangular,-,['tri'],colporus,-,scabratemicroechinate,"-,viscin threads","['Angiospermae', 'Asterales', 'Asteraceae', '']"
centaurea montana,,,,,,,,,,,,,
centaurea montana150,,,,,,,,,,,,,
centaurea scabiosa,"36,50",monad,colporate,isopolar,-,circular,spheroidal,['tri'],colporus,-,"echinatemicroechinate, perforate","-,viscin threads","['Angiospermae', 'Asterales', 'Asteraceae', '']"
cephalaria flava,,,,,,,,,,,,,
cephalaria flava153,,,,,,,,,,,,,
cephalophylum alstonii,,,,,,,,,,,,,
cephalotaxus fortunei,,,,,,,,,,,,,
cephalotaxus harring,,,,,,,,,,,,,
ceratozamia hidae,,,,,,,,,,,,,
ceratozamia hidae158,,,,,,,,,,,,,
cercis chinensis,-,monad,colporate,-,-,-,-,['tri'],colporus,-,,"-,viscin threads","['Angiospermae', 'Fabales', 'Fabaceae', '']"
cercis siliquastrum,"21,30",monad,colporate,isopolar,-,circular,spheroidal,['tri'],colporus,-,"reticulatereticulate, freestanding columellae","-,viscin threads","['Angiospermae', 'Fabales', 'Fabaceae', '']"
cereus validus,,,,,,,,,,,,,
cestrum newellii,,,,,,,,,,,,,
cestrum psittacinum,,,,,,,,,,,,,
chaenomeles superba,,,,,,,,,,,,,
chamaecyperis lawsonii,,,,,,,,,,,,,
chamaenerion angustifolium,,,,,,,,,,,,,
chelidonium magus,"26,35",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,aperture membrane ornamented,"scabrateperforate, microechinate","-,viscin threads","['Angiospermae', 'Ranunculales', 'Papaveraceae', '']"
chloranthus oldhamii,,,,,,,,,,,,,
choisya ternata,,,,,,,,,,,,,
chrysanthemum leucanthemum,,,,,,,,,,,,,
cirsium arvense,"26,50",monad,colporate,isopolar,-,circular,spheroidal,['tri'],colporus,-,"echinate, microreticulate","-,viscin threads","['Angiospermae', 'Asterales', 'Asteraceae', '']"
cissus quadrangularis,,,,,,,,,,,,,
cistis aquilarii,,,,,,,,,,,,,
citrus aurantium,"21,30",monad,colporate,isopolar,-,circular,spheroidal,['tetra'],colporus,-,reticulate,"-,viscin threads","['Angiospermae', 'Sapindales', 'Rutaceae', '']"
clavija demerani,,,,,,,,,,,,,
clavija demerani176,,,,,,,,,,,,,
cleistocactus strausii,,,,,,,,,,,,,
clematis rector,,,,,,,,,,,,,
clematis rector179,,,,,,,,,,,,,
cleome gynandra,"16,20",monad,colporate,isopolar,-,circular,spheroidal,['tri'],colporus,aperture membrane ornamented,"rugulate,  striatestriate, perforate","-,viscin threads","['Angiospermae', 'Brassicales', 'Capparaceae', '']"
clerodendrum bungei,"41,100",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,aperture membrane ornamented,echinate,"-,viscin threads","['Angiospermae', 'Lamiales', 'Lamiaceae', '']"
clerodendrum bungei182,"41,100",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,aperture membrane ornamented,echinate,"-,viscin threads","['Angiospermae', 'Lamiales', 'Lamiaceae', '']"
clerodendrum schweinfurthii,,,,,,,,,,,,,
clerodendrum speciosbde,,,,,,,,,,,,,
clerodendrum splendens,,,,,,,,,,,,,
clerodendrum splendens186,,,,,,,,,,,,,
clerodendrum thomsonii,"51,100",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,aperture membrane ornamented,"echinate, perforate","-,viscin threads","['Angiospermae', 'Lamiales', 'Lamiaceae', '']"
clerodendrum thomsonii188,"51,100",monad,colpate,isopolar,-,circular,spheroidal,['tri'],colpus,aperture membrane ornamented,"echinate, perforate","-,viscin threads","['Angiospermae', 'Lamiales', 'Lamiaceae', '']"
clivia miniata,,,,,,,,,,,,,
clivia miniata190,,,,,,,,,,,,,
clusia palmicida,,,,,,,,,,,,,
clusia palmicida192,,,,,,,,,,,,,
cneorum tricoccum,,,,,,,,,,,,,
cochiostemia odoratissimum,"26,50",monad,sulcate,heteropolar,oblate,elliptic,-,[],sulcus,aperture membrane ornamented,"psilate, microverrucate, perforate","-,viscin threads","['Angiospermae', 'Commelinales', 'Commelinaceae', '']"
cochiostemia odoratissimum195,"26,50",monad,sulcate,heteropolar,oblate,elliptic,-,[],sulcus,aperture membrane ornamented,"psilate, microverrucate, perforate","-,viscin threads","['Angiospermae', 'Commelinales', 'Commelinaceae', '']"
cochlearia officinalis,,,,,,,,,,,,,
